PairID,Algorithm,X,Y,Z
2,RRT,1.06733,-0.176988,1.15451
2,RRT,1.07752,-0.171432,1.15413
2,RRT,1.08749,-0.165644,1.15367
2,RRT,1.09726,-0.159629,1.15312
2,RRT,1.10682,-0.153394,1.15249
2,RRT,1.11615,-0.146943,1.15178
2,RRT,1.12527,-0.140283,1.15099
2,RRT,1.13415,-0.133418,1.15012
2,RRT,1.1428,-0.126355,1.14918
2,RRT,1.15121,-0.1191,1.14816
2,RRT,1.15938,-0.111658,1.14707
2,RRT,1.16731,-0.104035,1.14591
2,RRT,1.17499,-0.0962375,1.14468
2,RRT,1.18242,-0.0882712,1.14339
2,RRT,1.1896,-0.0801421,1.14203
2,RRT,1.19651,-0.0718561,1.14062
2,RRT,1.20317,-0.0634193,1.13914
2,RRT,1.20956,-0.0548378,1.1376
2,RRT,1.21569,-0.0461175,1.13601
2,RRT,1.22155,-0.0372645,1.13436
2,RRT,1.22714,-0.0282849,1.13265
2,RRT,1.23245,-0.0191847,1.1309
2,RRT,1.23749,-0.00997014,1.12909
2,RRT,1.24225,-0.000647133,1.12723
2,RRT,1.24674,0.00877821,1.12533
2,RRT,1.25094,0.0182998,1.12338
2,RRT,1.25486,0.0279117,1.12138
2,RRT,1.2585,0.0376077,1.11934
2,RRT,1.26185,0.0473818,1.11726
2,RRT,1.26492,0.057228,1.11514
2,RRT,1.2677,0.0671403,1.11297
2,RRT,1.2702,0.0771126,1.11077
2,RRT,1.2724,0.087139,1.10853
2,RRT,1.27432,0.0972134,1.10625
2,RRT,1.27594,0.10733,1.10393
2,RRT,1.27728,0.117483,1.10158
2,RRT,1.27832,0.127665,1.09919
2,RRT,1.27908,0.137872,1.09677
2,RRT,1.27954,0.148098,1.09431
2,RRT,1.27971,0.158335,1.09182
2,RRT,1.2796,0.168579,1.0893
2,RRT,1.27919,0.178824,1.08675
2,RRT,1.27849,0.189063,1.08416
2,RRT,1.2775,0.199291,1.08154
2,RRT,1.27622,0.209502,1.07889
2,RRT,1.27466,0.21969,1.07621
2,RRT,1.2728,0.22985,1.0735
2,RRT,1.27066,0.239974,1.07076
2,RRT,1.26823,0.250058,1.06798
2,RRT,1.26552,0.260096,1.06518
2,RRT,1.26252,0.270082,1.06234
2,RRT,1.25924,0.28001,1.05947
2,RRT,1.25568,0.289874,1.05657
2,RRT,1.25184,0.299668,1.05364
2,RRT,1.24772,0.309387,1.05067
