PairID,Algorithm,PlanningTime_ms,ExecutionTime_ms,Smoothness,PathLength
220,RRT*,5032,16961,0.00754135,2.10099
221,RRT,72,16044,0.0033809,4.5519
221,RRT*,5061,21806,0.00261244,5.11299
222,RRT,55,17073,0.00648736,3.42341
222,RRT*,5062,22707,0.00645084,3.40017
223,RRT,86,23356,0.00441567,5.55087
223,RRT*,5045,24681,0.00334968,4.24648
224,RRT,76,5508,0.00358539,4.88878
224,RRT*,5032,10142,0.0166649,0.812806
225,RRT,95,21499,0.00275269,5.14135
225,RRT*,5039,18260,0.00988924,3.81912
226,RRT,78,17594,0.00224374,4.95992
226,RRT*,5062,25467,0.00316622,4.88314
227,RRT,65,26424,0.00313627,6.68496
227,RRT*,5047,17598,0.0104516,3.65146
228,RRT,135,20544,0.00249944,7.01996
228,RRT*,5040,30806,0.0138696,1.85465
229,RRT,109,18643,0.00479775,5.5797
229,RRT*,5049,16400,0.00648207,4.2637
230,RRT,99,21812,0.00322403,6.23969
230,RRT*,5053,19909,0.00445306,5.26217
231,RRT,62,19038,0.00773791,4.18764
231,RRT*,5034,22563,0.00706508,4.68984
232,RRT,85,22542,0.00381281,5.03601
232,RRT*,5055,11497,0.00637466,2.61826
